759,katecwright,katiet121
749,scottharper,Scott_Harper
761,happygoluckyalexis,HappyGLAlexis
799,sebastianchase,
800,chipspacey,chipspacey
801,bigalinps,""
802,madeline,
803,smithlouise,
804,jmmcalpine,BroadcastSunny
791,queenephillips,queenephillips
790,veronicali,""
792,mc2umiles,"MC2UMiles 
 "
811,hdglidewell,hdglidewell81
828,lordmaity,Lordmaity
842,kdbloodworth,kdbloodworth
843,scienceboy55,
860,rickpipito,rickpipito
787,bissa1,MikeSpringmann
653,apminaker,apminaker
823,hertafeely,chrysaliseditor
806,paulcwalina,PKC1963
813,shiangra123,""
814,maxflies,
812,cherivause,CheriVause
824,stevieturner,StevieTurner6
835,velya,cgoodwife
844,aileenlf,
765,docafshan,Afshanhashmi
815,philipparees,PhilippaRees1
699,juliajaywoodman,WoodmanJulia
829,backpackerbill,backpackerbill
830,doobie,Doobie_Shemer
831,adventuresofisabelle,SuccessDoc
832,candyann,Miss_CandyX
833,philipwatling,philipwatling
836,jonathanbryant,IamRelentlessJB
837,tanginaann,tangina_ann
764,edward_vkanty,Edward_VKanty
845,sashamarshall,sashamarshall13
847,greggillis,
848,nquartay,NaneQuartay
851,randileighkennedy,randileighk
849,valkeogh,ValerieKeogh1
850,tizianaterranova,tiziterr
852,kaitking,https://twitter.com/KaitKtheauthor
853,booksgrowminds,""
766,mikef65,ArtistMikeF1965
854,eve950,Eve950
846,terryirving,terryirving
858,seanmurphy,bullmurph
859,foxsynergy,FoxSynergy
780,lbdarling,lb_darling
743,paradise03,Grapes0272
861,happyruss,
870,coryystandby,coryystandby
871,komijan55,
872,dpyatt29,dpyatt29
